Order	Unfiltered word count	Occurrences	Percentage
1.	g	170	0.6217
2.	kft	161	0.5888
3.	kht	151	0.5522
4.	vyc	149	0.5449
5.	rwx	148	0.5413
6.	ias	147	0.5376
7.	rjv	145	0.5303
8.	p	138	0.5047
9.	ioc	137	0.5010
10.	hnv	136	0.4974
11.	z	131	0.4791
12.	mvk	126	0.4608
13.	o	122	0.4462
14.	r	122	0.4462
15.	y	121	0.4425
16.	zye	116	0.4242
17.	twl	115	0.4206
18.	t	114	0.4169
19.	afg	114	0.4169
20.	x	94	0.3438
21.	mc	93	0.3401
22.	ypu	92	0.3365
23.	k	86	0.3145
24.	km	86	0.3145
25.	iv	84	0.3072
26.	ceb	84	0.3072
27.	h	83	0.3036
28.	i	77	0.2816
29.	rls	76	0.2780
30.	ycw	76	0.2780
31.	ack	74	0.2706
32.	rd	73	0.2670
33.	ged	72	0.2633
34.	rns	72	0.2633
35.	a	71	0.2597
36.	zf	70	0.2560
37.	b	69	0.2523
38.	pub	69	0.2523
39.	rq	67	0.2450
40.	hlf	67	0.2450
41.	zt	66	0.2414
42.	pgr	66	0.2414
43.	pl	65	0.2377
44.	xm	65	0.2377
45.	otu	65	0.2377
46.	am	62	0.2267
47.	tbj	62	0.2267
48.	c	61	0.2231
49.	ih	61	0.2231
50.	zr	61	0.2231
51.	jft	61	0.2231
52.	ff	58	0.2121
53.	ht	58	0.2121
54.	vf	57	0.2085
55.	ko	54	0.1975
56.	dy	53	0.1938
57.	wz	53	0.1938
58.	td	52	0.1902
59.	xa	52	0.1902
60.	kk	51	0.1865
61.	lhq	51	0.1865
62.	qwx	51	0.1865
63.	swl	51	0.1865
64.	ic	50	0.1829
65.	pr	50	0.1829
66.	qw	50	0.1829
67.	uyc	50	0.1829
68.	cl	49	0.1792
69.	hu	48	0.1755
70.	ok	48	0.1755
71.	bh	47	0.1719
72.	dm	47	0.1719
73.	ii	47	0.1719
74.	yris	47	0.1719
75.	yye	47	0.1719
76.	w	46	0.1682
77.	gv	46	0.1682
78.	mh	46	0.1682
79.	htwj	46	0.1682
80.	zfg	46	0.1682
81.	jht	45	0.1646
82.	wql	45	0.1646
83.	gi	44	0.1609
84.	hhgf	44	0.1609
85.	qczb	44	0.1609
86.	has	44	0.1609
87.	sppb	44	0.1609
88.	vd	43	0.1573
89.	rjxvs	42	0.1536
90.	lvk	42	0.1536
91.	qjv	42	0.1536
92.	ou	41	0.1499
93.	zyku	41	0.1499
94.	nvs	41	0.1499
95.	j	40	0.1463
96.	hoc	39	0.1426
97.	ccgrx	39	0.1426
98.	yabqk	38	0.1390
99.	ynzat	38	0.1390
100.	jaxk	38	0.1390
101.	pewiv	37	0.1353
